,car_name,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
1476,Maruti Wagon R,13,110000,0,0,0,18.9,1061.0,67.0,5,125000
1477,Maruti Wagon R,3,25000,0,0,0,20.51,998.0,67.04,5,400000
1478,Mahindra Scorpio,9,110000,0,1,0,12.05,2159.5,120.0,9,600000
1479,Mahindra XUV500,6,55000,1,1,0,16.0,2159.5,140.0,7,925000
1480,Toyota Innova,4,130000,1,1,1,11.36,2159.5,171.5,7,1425000
1481,Mahindra Thar,8,49000,1,1,0,16.55,2159.5,105.0,6,475000
1482,Toyota Innova,12,130000,0,1,0,12.8,2159.5,102.0,8,600000
1483,Maruti Vitara,4,24000,1,1,0,24.3,1248.0,88.5,5,785000
1484,Hyundai i20,4,7500,0,0,0,17.19,1197.0,81.86,5,660000
1485,Datsun GO,5,50000,0,0,0,20.63,1198.0,67.0,5,235000
1487,Maruti Wagon R,9,20000,0,0,0,18.9,998.0,67.1,5,230000
1489,Hyundai Grand,3,15000,0,0,0,18.9,1197.0,81.86,5,600000
1492,Maruti Ciaz,2,15260,1,1,0,28.09,1248.0,88.5,5,1095000
1493,Renault Duster,9,58000,0,1,0,19.87,1461.0,83.8,5,500000
1494,Toyota Innova,7,60000,1,1,0,12.99,2159.5,100.6,7,775000
1496,Renault Triber,2,10000,0,0,0,20.0,999.0,72.0,7,550000
1498,Maruti Alto,7,35000,0,0,0,22.74,796.0,47.3,5,250000
1499,Maruti Ciaz,3,70000,0,1,0,28.09,1248.0,88.5,5,725000
1500,Hyundai Santro,11,60000,0,0,0,17.92,1086.0,62.1,5,180000
1501,Ford Aspire,5,20000,0,0,0,18.16,1196.0,86.8,5,525000
1502,Renault Duster,5,55000,0,1,0,19.87,1461.0,83.8,5,600000
1503,Honda City,8,42462,1,0,0,17.8,1498.0,119.35,5,480000
1504,Honda Amaze,1,12000,1,0,0,18.6,1199.0,88.76,5,785000
1505,Honda City,7,70000,0,0,0,17.4,1497.0,117.3,5,560000
1506,Hyundai i20,2,12973,2,0,0,18.6,1197.0,81.86,5,690000
1507,Ford Ecosport,3,16000,1,0,0,17.0,1497.0,121.31,5,875000
1508,Bentley Continental,9,9000,1,0,1,9.5,2159.5,182.25,4,1485000
1509,Maruti Swift Dzire,9,55236,1,0,0,19.1,1197.0,85.8,5,350000
1510,Honda WR-V,2,10000,0,1,0,25.5,1498.0,98.6,5,975000
1512,Honda City,4,49000,1,0,1,17.4,1497.0,117.6,5,970000
1514,Hyundai Grand,8,91468,1,1,0,24.0,1120.0,70.0,5,280000
1516,Tata Tiago,3,68000,0,1,0,27.28,1047.0,69.0,5,381000
1517,Toyota Fortuner,6,120000,0,1,0,12.55,2159.5,168.5,7,1485000
1518,Hyundai i20,2,20000,0,0,0,17.19,1197.0,81.86,5,700000
1519,Mahindra Thar,8,45000,1,1,0,16.55,2159.5,105.0,7,545000
1520,Maruti Alto,17,80000,0,0,0,19.7,796.0,46.3,5,77000
1521,Hyundai i10,10,80000,1,0,0,20.36,1197.0,78.9,5,225000
1522,Maruti Swift,5,80000,0,0,0,20.4,1197.0,81.8,5,510000
1524,Mahindra Scorpio,6,35000,0,1,0,15.4,1997.0,120.0,7,850000
1525,Maruti Vitara,5,63000,1,1,0,24.3,1248.0,88.5,5,735000
1528,Ford Aspire,6,42000,1,1,0,25.83,1498.0,99.0,5,475000
1529,Hyundai Santro,9,130000,0,2,0,11.88,1086.0,62.1,5,175000
1530,Honda Civic,14,60000,0,0,1,12.9,1799.0,130.0,5,320000
1531,Maruti Baleno,3,19000,1,0,0,21.01,1197.0,81.8,5,675000
1532,BMW 3,6,70000,0,1,1,18.88,1995.0,182.25,5,1485000
1533,Tata Tiago,4,59000,1,1,0,27.28,1047.0,69.0,5,375000
1534,Honda CR,4,34000,1,0,1,12.0,2159.5,182.25,5,1485000
1536,Maruti Swift Dzire,6,36000,1,1,0,23.4,1248.0,74.0,5,545000
1537,Maruti Celerio,2,50000,0,0,0,21.63,998.0,67.0,5,500000
1538,Skoda Rapid,3,40000,0,0,1,14.84,1598.0,103.2,5,700000
1540,Maruti Celerio,7,110000,0,0,1,23.1,998.0,67.04,5,250000
1541,Maruti Alto,15,30000,0,0,0,19.7,796.0,46.3,5,135000
1542,Maruti Ertiga,6,72909,1,0,0,19.01,1462.0,103.26,7,525000
1543,Hyundai Creta,4,38425,1,1,0,19.67,1582.0,126.2,5,960000
1544,Ford Endeavour,4,32000,1,1,1,10.91,2159.5,182.25,7,1485000
1545,Hyundai i20,3,50000,0,0,0,18.6,1197.0,81.83,5,700000
1547,Maruti Swift Dzire,4,74014,1,1,0,28.4,1248.0,74.02,5,669000
1548,Maruti Celerio,7,76000,0,0,0,23.1,998.0,67.04,5,315000
1549,Hyundai Verna,3,15000,0,1,0,22.0,1582.0,126.2,5,1240000
1551,Maruti Alto,6,35100,1,0,0,23.95,998.0,67.05,5,290000
1552,Hyundai Verna,13,120000,0,1,0,16.8,1493.0,110.0,5,215000
1554,Maruti Vitara,3,60000,0,1,0,24.3,1248.0,88.5,5,850000
1555,Hyundai Grand,4,22000,0,0,0,18.9,1197.0,81.86,5,490000
1556,Porsche Cayenne,4,36000,1,0,1,12.5,2159.5,182.25,5,1485000
1557,Porsche Cayenne,8,57000,1,1,1,15.15,2159.5,182.25,5,1485000
1558,Ford Figo,8,130000,0,1,0,20.0,1399.0,68.1,5,240000
1559,Maruti Swift,8,70000,0,1,0,22.9,1248.0,74.0,5,330000
1560,Maruti Alto,13,97000,0,0,0,19.7,796.0,46.3,5,95000
1561,Maruti Ertiga,7,22681,1,0,0,16.02,1373.0,93.7,7,525000
1564,Volkswagen Vento,7,96000,0,0,0,15.04,1598.0,103.2,5,390000
1565,Hyundai i20,4,27000,0,0,0,18.6,1197.0,81.83,5,575000
1566,Maruti Swift,8,72000,1,1,0,28.4,1248.0,74.0,5,410000
1567,Hyundai i20,7,57212,1,1,0,22.54,1396.0,88.73,5,550000
1568,Hyundai i20,7,50000,0,0,0,18.6,1197.0,81.83,5,400000
1569,Hyundai i20,3,50000,0,0,0,18.6,1197.0,81.83,5,660000
1570,Maruti Swift Dzire,3,60000,0,1,0,28.4,1248.0,74.02,5,700000
1572,Maruti Alto,10,39513,1,0,0,23.95,998.0,67.05,5,200000
1573,Maruti Ertiga,4,40000,0,1,0,24.52,1248.0,88.5,7,865000
1575,Maruti Dzire VXI,1,8000,0,0,0,23.26,1197.0,88.5,5,650000
1576,Mahindra XUV500,7,120000,0,1,0,15.1,2159.5,140.0,7,900000
1577,Maruti Swift Dzire,4,15659,2,0,0,21.21,1197.0,81.8,5,625000
1579,Maruti Wagon R,6,50000,0,0,0,20.51,998.0,67.04,5,400000
1580,Mahindra XUV500,4,65000,1,1,1,16.0,1997.0,140.0,7,1175000
1581,Renault KWID,5,80000,0,0,0,25.17,799.0,53.3,5,250000
1582,Hyundai Venue,2,3800,0,0,0,18.27,998.0,118.35,5,950000
1583,Honda Amaze,5,54000,1,0,0,18.0,1198.0,86.7,5,510000
1584,BMW 5,3,22000,1,1,1,22.48,1995.0,182.25,5,1485000
1585,Maruti Celerio,4,25000,0,0,0,23.1,998.0,67.04,5,345000
1587,Volkswagen Polo,11,61000,1,0,0,16.47,1198.0,73.9,5,235000
1589,Renault KWID,5,25000,0,0,0,23.01,999.0,67.0,5,300000
1590,Maruti Wagon R,10,64000,1,2,0,26.2,998.0,58.2,5,225000
1592,Tata Hexa,3,57000,0,1,0,17.6,2159.5,147.94,7,1025000
1593,Maruti Swift,9,51000,1,0,0,16.1,1197.0,85.0,5,291000
1595,Honda City,6,40000,0,1,0,25.1,1498.0,98.6,5,620000
1596,Hyundai i10,10,47000,1,0,0,20.36,1197.0,78.9,5,195000
1597,Maruti Swift Dzire,8,48987,2,0,0,19.1,1197.0,85.8,5,370000
1598,Maruti Swift,3,25000,0,1,0,28.4,1248.0,74.0,5,690000
1599,Maruti Swift,8,30000,0,0,0,18.6,1197.0,85.8,5,390000
1600,Mahindra XUV500,9,80000,0,1,0,15.1,2159.5,140.0,7,550000
1601,Hyundai Creta,4,54000,1,0,0,15.8,1591.0,121.3,5,1050000
1602,Mahindra Bolero,13,90000,0,1,0,13.6,2159.5,63.0,7,230000
1603,Maruti Alto,7,75001,1,0,0,19.7,796.0,46.3,5,175000
1604,Ford Figo,8,100000,0,1,0,20.0,1399.0,68.1,5,250000
1605,Volkswagen Vento,7,42000,1,0,1,16.93,1197.0,103.6,5,575000
1606,Maruti Wagon R,4,32013,2,2,0,31.25,998.0,67.04,5,380000
1609,Mahindra XUV500,5,55766,1,1,0,16.0,2159.5,140.0,7,1151000
1610,Maruti Alto,7,70000,0,0,0,20.92,998.0,67.1,5,245000
1611,Tata Nexon,3,40000,0,1,1,21.5,1497.0,108.5,5,1000000
1612,Renault Duster,5,118500,0,1,0,19.72,1461.0,108.45,5,943000
1613,Renault Duster,7,42000,1,1,0,19.01,1461.0,108.45,5,500000
1615,Mahindra Scorpio,8,120000,0,1,0,14.0,2159.5,75.0,8,500000
1616,BMW X1,2,10000,0,1,1,20.68,1995.0,182.25,5,1485000
1617,Maruti Swift Dzire,6,32000,1,1,0,19.3,1248.0,73.9,5,570000
1618,Nissan Kicks,1,15000,0,0,0,14.23,1330.0,153.87,5,1000000
1619,Kia Seltos,2,13000,1,0,0,16.8,1497.0,113.4,5,1140000
1620,BMW 5,7,41000,1,1,1,18.12,1995.0,182.25,5,1485000
1621,Maruti Ciaz,4,44000,1,0,0,20.73,1373.0,91.1,5,775000
1623,Maruti Swift,7,40000,0,0,0,20.4,1197.0,81.8,5,320000
1624,Mahindra XUV500,5,120000,0,1,1,16.0,2159.5,140.0,7,1400000
1625,Maruti Swift Dzire,3,5000,0,0,1,21.21,1197.0,81.8,5,700000
1626,Mahindra Scorpio,6,80000,0,1,0,15.4,2159.5,75.0,9,800000
1629,Maruti Swift,2,23414,2,0,0,22.0,1197.0,81.8,5,530000
1630,Audi Q7,8,85000,1,1,1,12.07,2159.5,182.25,7,1485000
1631,Toyota Innova,4,68000,1,1,0,13.68,2159.5,147.51,8,1360000
1633,Maruti Wagon R,6,15000,0,0,0,20.51,998.0,67.04,5,350000
1634,Mahindra XUV500,6,50000,1,1,0,16.0,2159.5,140.0,7,799000
1636,Hyundai Verna,12,110000,0,1,0,18.1,1493.0,110.0,5,350000
1637,Toyota Innova,7,70000,1,1,0,12.8,2159.5,102.0,8,740000
1638,Mahindra Bolero,2,30000,0,1,0,15.96,2159.5,63.0,9,620000
1639,Mercedes-Benz E-Class,9,67000,1,1,1,10.0,2148.0,170.0,5,890000
1640,Maruti Celerio,7,23970,1,0,0,23.1,998.0,67.04,5,350000
1641,Tata Tiago,4,60000,0,0,0,23.84,1199.0,84.0,5,380000
1642,Mercedes-Benz S-Class,6,56000,1,1,1,13.5,2159.5,182.25,5,1485000
1643,Jaguar XF,6,52111,1,1,1,16.36,2159.5,182.25,5,1485000
1646,Maruti Swift,7,30000,0,1,0,25.2,1248.0,74.0,5,500000
1647,Tata Hexa,4,50000,0,1,0,17.6,2159.5,153.86,7,1485000
1648,Maruti Swift Dzire,6,50000,1,0,0,22.0,1197.0,81.8,5,490000
1649,Volkswagen Vento,7,55000,1,1,0,20.34,1498.0,103.2,5,375000
1650,Tata Safari,5,50000,0,1,0,14.1,2159.5,148.0,7,1000000
1651,Toyota Innova,3,50000,0,1,0,13.68,2159.5,147.8,8,1485000
1654,Maruti Swift Dzire,4,107000,0,1,0,28.4,1248.0,74.02,5,490000
1655,Maruti Wagon R,9,120000,0,3,0,26.2,998.0,58.2,5,260000
1656,Honda City,11,68000,1,0,0,17.0,1497.0,118.0,5,325000
1657,Hyundai i20,6,70000,0,1,0,22.54,1396.0,88.73,5,590000
1658,Toyota Innova,5,35512,1,1,1,11.36,2159.5,171.5,7,1485000
1659,Tata Safari,9,68240,1,1,0,13.93,2159.5,138.1,7,450000
1660,Hyundai Creta,4,51000,1,1,0,22.1,1396.0,88.7,5,875000
1661,Hyundai Grand,6,50000,1,0,0,18.9,1197.0,82.0,5,450000
1662,Hyundai Creta,4,60000,0,1,0,21.38,1396.0,88.7,5,850000
1664,Maruti Ertiga,1,4500,0,0,0,19.01,1462.0,103.26,7,830000
1665,Mahindra XUV500,5,100000,0,1,0,16.0,2159.5,140.0,7,829000
1666,Skoda Superb,5,20000,0,0,0,14.12,1798.0,177.46,5,1485000
1667,Hyundai Verna,9,50000,0,0,0,17.1,1591.0,121.3,5,450000
1668,Tata Safari,5,120000,0,1,0,14.1,2159.5,147.94,7,690000
1669,Honda City,7,59250,1,0,0,17.4,1497.0,117.3,5,575000
1670,Hyundai Grand,3,31799,2,0,0,18.9,1197.0,81.86,5,500000
1671,Maruti Baleno,2,3500,0,1,0,27.39,1248.0,74.0,5,700000
1672,Maruti Wagon R,6,15000,0,0,0,20.51,998.0,67.04,5,300000
1673,Audi Q7,11,130000,0,1,1,11.33,2159.5,182.25,7,1485000
1674,Skoda Rapid,8,42000,1,0,0,15.0,1598.0,103.5,5,375000
1675,Tata Safari,3,50000,0,1,0,14.1,2159.5,147.94,7,850000
1676,Hyundai i20,4,53000,1,0,0,18.6,1197.0,81.83,5,575000
1677,Maruti Swift,3,56000,0,0,0,22.0,1197.0,81.8,5,500000
1678,Mahindra Bolero,2,35000,0,1,0,16.5,1493.0,70.0,7,850000
1679,Hyundai Creta,5,70000,0,0,0,15.29,1591.0,121.3,5,815000
1682,Maruti Wagon R,9,95000,1,2,0,26.6,998.0,58.16,5,190000
1683,Maruti Swift Dzire,4,50000,0,1,0,28.4,1248.0,74.02,5,900000
1685,Toyota Innova,5,52000,1,0,0,11.25,2159.5,163.7,7,1300000
1686,Skoda Rapid,7,59000,1,0,1,14.3,1598.0,103.6,5,445000
1688,Hyundai Creta,5,10000,0,0,0,15.29,1591.0,121.3,5,1000000
1690,Tata Tiago,4,37000,1,0,0,23.84,1199.0,84.0,5,395000
1691,Maruti Swift,8,80000,0,1,0,22.9,1248.0,74.0,5,350000
1692,Tata Tigor,2,50000,0,1,0,24.7,1047.0,69.0,5,400000
1693,Maruti Wagon R,2,15000,0,0,0,21.79,998.0,67.05,5,475000
1694,Mahindra Bolero,3,70000,0,1,0,16.5,1493.0,70.0,7,670000
1695,Hyundai i20,3,20000,0,0,0,18.6,1197.0,81.83,5,524000
1696,Tata Hexa,4,110000,0,1,0,17.6,2159.5,153.86,7,990000
1699,MG Hector,2,20000,1,1,0,17.41,1956.0,167.68,5,1485000
1700,Toyota Fortuner,9,130000,1,1,1,12.55,2159.5,168.5,7,1450000
1701,Maruti Swift,14,130000,0,1,0,17.8,1248.0,75.0,5,215000
1703,Hyundai i20,7,67000,1,1,0,21.9,1396.0,90.0,5,355000
1705,Maruti Swift,6,38000,0,1,0,25.2,1248.0,74.0,5,530000
1707,Mahindra Bolero,14,40000,0,1,0,13.6,2159.5,63.0,7,250000
1709,Toyota Innova,4,50000,1,0,0,11.25,2159.5,163.7,7,1485000
1711,Renault Duster,3,32440,1,1,0,19.87,1461.0,83.8,5,850000
1712,Hyundai i20,3,40000,1,0,0,18.6,1197.0,81.83,5,645000
1713,Ford Aspire,5,70000,1,1,0,25.83,1498.0,99.0,5,440000
1714,Ford Ecosport,7,37000,1,1,0,22.7,1498.0,89.84,5,590000
1715,Hyundai Grand,6,40000,0,0,0,18.9,1197.0,82.0,5,350000
